,Country,Continent,Rank,Title,Artists,Artist_clean,Album,Explicit,Duration
758,Ecuador,South America,9,Tattoo,Rauw Alejandro,Rauw Alejandro,Tattoo,0,3:22
759,Ecuador,South America,10,Morado,J Balvin,J Balvin,Colores,0,3:20
760,Ecuador,South America,11,Amarillo,J Balvin,J Balvin,Colores,0,2:37
761,Ecuador,South America,12,Bajo La Mesa,"Morat, Sebastian Yatra",Morat,Bajo La Mesa,0,2:37
762,Ecuador,South America,13,Tusa,"KAROL G, Nicki Minaj",KAROL G,Tusa,0,3:20
763,Ecuador,South America,14,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Dalex,Hola (Remix),0,4:09
764,Ecuador,South America,15,Ignorantes,"Bad Bunny, Sech",Bad Bunny,YHLQMDLG,1,3:30
765,Ecuador,South America,16,Jangueo,"Alex Rose, Rafa Pabön",Alex Rose,LOST,0,4:19
766,Ecuador,South America,17,La Difícil,Bad Bunny,Bad Bunny,YHLQMDLG,1,2:43
767,Ecuador,South America,18,Si Veo a Tu Mamá,Bad Bunny,Bad Bunny,YHLQMDLG,0,2:50
768,Ecuador,South America,19,Diosa,Myke Towers,Myke Towers,Easy Money Baby,1,3:34
769,Ecuador,South America,20,BYE ME FUI,Bad Bunny,Bad Bunny,LAS QUE NO IBAN A SALIR,1,2:58
770,Ecuador,South America,21,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Dímelo Flow,Sigues Con El,0,3:46
771,Ecuador,South America,22,Azul,J Balvin,J Balvin,Colores,0,3:25
772,Ecuador,South America,23,Dance Monkey,Tones And I,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
773,Ecuador,South America,24,Don't Start Now,Dua Lipa,Dua Lipa,Future Nostalgia,0,3:03
774,Ecuador,South America,25,Fantasias,"Rauw Alejandro, Farruko",Rauw Alejandro,Fantasias,0,3:19
775,Ecuador,South America,26,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Jhay Cortez,Famouz,0,5:09
776,Ecuador,South America,27,PA' ROMPERLA,"Bad Bunny, Don Omar",Bad Bunny,LAS QUE NO IBAN A SALIR,1,3:14
777,Ecuador,South America,28,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",Arcangel,Sigues Con El (Remix),0,3:09
778,Ecuador,South America,29,Locura,"Cali Y El Dandee, Sebastian Yatra",Cali Y El Dandee,Colegio,0,3:29
779,Ecuador,South America,30,El Efecto,"Rauw Alejandro, Chencho Corleone",Rauw Alejandro,El Efecto,0,3:37
780,Ecuador,South America,31,Por Primera Vez,"Camilo, Evaluna Montaner",Camilo,Por Primera Vez,0,3:02
781,Ecuador,South America,32,CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",Jhay Cortez,CÓMO SE SIENTE (Remix),1,3:47
782,Ecuador,South America,33,LA CANCIÓN,"J Balvin, Bad Bunny",J Balvin,OASIS,0,4:02
783,Ecuador,South America,34,Los Besos,Greeicy,Greeicy,Los Besos,0,3:22
784,Ecuador,South America,35,CANCIÓN CON YANDEL,"Yandel, Bad Bunny",Yandel,LAS QUE NO IBAN A SALIR,1,3:29
785,Ecuador,South America,36,La Santa,"Bad Bunny, Daddy Yankee",Bad Bunny,YHLQMDLG,1,3:26
786,Ecuador,South America,37,Vete,Bad Bunny,Bad Bunny,YHLQMDLG,1,3:12
787,Ecuador,South America,38,Roses - Imanbek Remix,"SAINt JHN, Imanbek",SAINt JHN,Roses (Imanbek Remix),1,2:56
788,Ecuador,South America,39,Detente,"Mike Bahía, Danny Ocean",Mike Bahía,Navegando,0,3:01
789,Ecuador,South America,40,A Tu Merced,Bad Bunny,Bad Bunny,YHLQMDLG,0,2:55
790,Ecuador,South America,41,Si Me Dices Que Sí,"Reik, Farruko, Camilo",Reik,Si Me Dices Que Sí,0,3:31
791,Ecuador,South America,42,Tutu,"Camilo, Pedro Capó",Camilo,Por Primera Vez,0,2:59
792,Ecuador,South America,43,Blanco,J Balvin,J Balvin,Colores,0,2:25
793,Ecuador,South America,44,Callaita,"Bad Bunny, Tainy",Bad Bunny,Callaita,1,4:10
794,Ecuador,South America,45,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",Powfu,death bed (coffee for your head) (feat. beabadoobee),0,2:53
795,Ecuador,South America,46,Negro,J Balvin,J Balvin,Colores,0,3:02
796,Ecuador,South America,47,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Anuel AA,China,0,5:01
797,Ecuador,South America,48,Quiéreme Mientras Se Pueda,Manuel Turizo,Manuel Turizo,Quiéreme Mientras Se Pueda,0,3:11
798,Ecuador,South America,49,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Lady Gaga,Rain On Me (with Ariana Grande),0,3:02
799,Ecuador,South America,50,ADMV,Maluma,Maluma,ADMV,0,3:13
800,El Salvador,North America,1,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",Bad Bunny,YHLQMDLG,1,4:55
801,El Salvador,North America,2,Rojo,J Balvin,J Balvin,Colores,0,2:30
802,El Salvador,North America,3,Yo Perreo Sola,Bad Bunny,Bad Bunny,YHLQMDLG,0,2:52
803,El Salvador,North America,4,Favorito,Camilo,Camilo,Por Primera Vez,0,3:29
804,El Salvador,North America,5,Tattoo,Rauw Alejandro,Rauw Alejandro,Tattoo,0,3:22
805,El Salvador,North America,6,Blinding Lights,The Weeknd,The Weeknd,After Hours,0,3:20
806,El Salvador,North America,7,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Dalex,Hola (Remix),0,4:09
807,El Salvador,North America,8,BYE ME FUI,Bad Bunny,Bad Bunny,LAS QUE NO IBAN A SALIR,1,2:58
808,El Salvador,North America,9,La Difícil,Bad Bunny,Bad Bunny,YHLQMDLG,1,2:43
809,El Salvador,North America,10,Si Veo a Tu Mamá,Bad Bunny,Bad Bunny,YHLQMDLG,0,2:50
810,El Salvador,North America,11,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Rauw Alejandro,Elegí (feat. Dímelo Flow),0,3:17
811,El Salvador,North America,12,Ignorantes,"Bad Bunny, Sech",Bad Bunny,YHLQMDLG,1,3:30
812,El Salvador,North America,13,Fantasias,"Rauw Alejandro, Farruko",Rauw Alejandro,Fantasias,0,3:19
813,El Salvador,North America,14,La Santa,"Bad Bunny, Daddy Yankee",Bad Bunny,YHLQMDLG,1,3:26
814,El Salvador,North America,15,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Lady Gaga,Rain On Me (with Ariana Grande),0,3:02
815,El Salvador,North America,16,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Dímelo Flow,Sigues Con El,0,3:46
816,El Salvador,North America,17,CANCIÓN CON YANDEL,"Yandel, Bad Bunny",Yandel,LAS QUE NO IBAN A SALIR,1,3:29
817,El Salvador,North America,18,Vete,Bad Bunny,Bad Bunny,YHLQMDLG,1,3:12
818,El Salvador,North America,19,CÓMO SE SIENTE - Remix,"Jhay Cortez, Bad Bunny",Jhay Cortez,CÓMO SE SIENTE (Remix),1,3:47
819,El Salvador,North America,20,Diosa,Myke Towers,Myke Towers,Easy Money Baby,1,3:34
820,El Salvador,North America,21,No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",Jhay Cortez,Famouz,0,5:09
821,El Salvador,North America,22,LA CANCIÓN,"J Balvin, Bad Bunny",J Balvin,OASIS,0,4:02
822,El Salvador,North America,23,Tusa,"KAROL G, Nicki Minaj",KAROL G,Tusa,0,3:20
823,El Salvador,North America,24,Morado,J Balvin,J Balvin,Colores,0,3:20
824,El Salvador,North America,25,Don't Start Now,Dua Lipa,Dua Lipa,Future Nostalgia,0,3:03
825,El Salvador,North America,26,PORFA,"Feid, Justin Quiles",Feid,FERXXO (VOL 1: M.O.R),0,3:52
826,El Salvador,North America,27,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",Powfu,death bed (coffee for your head) (feat. beabadoobee),0,2:53
827,El Salvador,North America,28,Pa' Olvidarme De Ella,"Piso 21, Christian Nodal",Piso 21,Pa' Olvidarme De Ella,1,3:47
828,El Salvador,North America,29,Relación,Sech,Sech,1 of 1,0,3:04
829,El Salvador,North America,30,Amarillo,J Balvin,J Balvin,Colores,0,2:37
830,El Salvador,North America,31,Dance Monkey,Tones And I,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
831,El Salvador,North America,32,Jangueo,"Alex Rose, Rafa Pabön",Alex Rose,LOST,0,4:19
832,El Salvador,North America,33,PA' ROMPERLA,"Bad Bunny, Don Omar",Bad Bunny,LAS QUE NO IBAN A SALIR,1,3:14
833,El Salvador,North America,34,Callaita,"Bad Bunny, Tainy",Bad Bunny,Callaita,1,4:10
834,El Salvador,North America,35,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",Rauw Alejandro,El Efecto (Remix),1,4:49
835,El Salvador,North America,36,BAD CON NICKY,"Bad Bunny, Nicky Jam",Bad Bunny,LAS QUE NO IBAN A SALIR,1,3:22
836,El Salvador,North America,37,A Tu Merced,Bad Bunny,Bad Bunny,YHLQMDLG,0,2:55
837,El Salvador,North America,38,MÁS DE UNA CITA,"Bad Bunny, Zion & Lennox",Bad Bunny,LAS QUE NO IBAN A SALIR,1,3:03
838,El Salvador,North America,39,Bajo La Mesa,"Morat, Sebastian Yatra",Morat,Bajo La Mesa,0,2:37
839,El Salvador,North America,40,Adicto (with Anuel AA & Ozuna),"Tainy, Anuel AA, Ozuna",Tainy,Adicto (with Anuel AA & Ozuna),0,4:30
840,El Salvador,North America,41,Sigues Con El - Remix,"Arcangel, Sech, Romeo Santos",Arcangel,Sigues Con El (Remix),0,3:09
841,El Salvador,North America,42,Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",Dalex,Modo Avión,1,5:04
842,El Salvador,North America,43,El Efecto,"Rauw Alejandro, Chencho Corleone",Rauw Alejandro,El Efecto,0,3:37
843,El Salvador,North America,44,Por Primera Vez,"Camilo, Evaluna Montaner",Camilo,Por Primera Vez,0,3:02
844,El Salvador,North America,45,Qué Maldición,"Banda MS de Sergio Lizárraga, Snoop Dogg",Banda MS de Sergio Lizárraga,Qué Maldición,0,3:23
845,El Salvador,North America,46,Azul,J Balvin,J Balvin,Colores,0,3:25
846,El Salvador,North America,47,Tutu,"Camilo, Pedro Capó",Camilo,Por Primera Vez,0,2:59
847,El Salvador,North America,48,China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",Anuel AA,China,0,5:01
848,El Salvador,North America,49,Quiéreme Mientras Se Pueda,Manuel Turizo,Manuel Turizo,Quiéreme Mientras Se Pueda,0,3:11
849,El Salvador,North America,50,Quizas,"Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",Rich Music LTD,The Academy,1,3:36
850,Estonia,Europe,1,Croissantid,Nublu,Nublu,Croissantid,0,2:36
851,Estonia,Europe,2,Blinding Lights,The Weeknd,The Weeknd,After Hours,0,3:20
852,Estonia,Europe,3,Roses - Imanbek Remix,"SAINt JHN, Imanbek",SAINt JHN,Roses (Imanbek Remix),1,2:56
853,Estonia,Europe,4,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Lady Gaga,Rain On Me (with Ariana Grande),0,3:02
854,Estonia,Europe,5,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",DaBaby,BLAME IT ON BABY,1,3:01
855,Estonia,Europe,6,Young Boy,NOËP,NOËP,Young Boy,0,2:33
856,Estonia,Europe,7,GOOBA,6ix9ine,6ix9ine,GOOBA,1,2:12
857,Estonia,Europe,8,Aluspükse,"5MIINUST, Nublu",5MIINUST,Aluspükse,0,3:30
858,Estonia,Europe,9,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",Surf Mesa,ily (i love you baby) (feat. Emilee),0,2:56
859,Estonia,Europe,10,für Oksana,"Nublu, gameboy tetris",Nublu,für Oksana,0,3:14
860,Estonia,Europe,11,Paaristõuked,"5MIINUST, Villemdrillem",5MIINUST,Paaristõuked,0,3:33
861,Estonia,Europe,12,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",Powfu,death bed (coffee for your head) (feat. beabadoobee),0,2:53
862,Estonia,Europe,13,Toosie Slide,Drake,Drake,Dark Lane Demo Tapes,1,4:07
863,Estonia,Europe,14,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,THE SCOTTS,1,2:45
864,Estonia,Europe,15,In Your Eyes,The Weeknd,The Weeknd,After Hours,1,3:57
865,Estonia,Europe,16,Breaking Me,"Topic, A7S",Topic,Breaking Me,0,2:46
866,Estonia,Europe,17,Blueberry Faygo,Lil Mosey,Lil Mosey,Certified Hitmaker,1,2:42
867,Estonia,Europe,18,Supalonely,"BENEE, Gus Dapperton",BENEE,STELLA & STEVE,1,3:43
868,Estonia,Europe,19,Don't Start Now,Dua Lipa,Dua Lipa,Future Nostalgia,0,3:03
869,Estonia,Europe,20,Watermelon Sugar,Harry Styles,Harry Styles,Fine Line,0,2:54
870,Estonia,Europe,21,The Box,Roddy Ricch,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
871,Estonia,Europe,22,Break My Heart,Dua Lipa,Dua Lipa,Future Nostalgia,0,3:41
872,Estonia,Europe,23,Boss Bitch,Doja Cat,Doja Cat,Boss Bitch,0,2:14
873,Estonia,Europe,24,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Ariana Grande,Stuck with U,0,3:48
874,Estonia,Europe,25,Falling,Trevor Daniel,Trevor Daniel,Nicotine,0,2:39
875,Estonia,Europe,26,Be Kind (with Halsey),"Marshmello, Halsey",Marshmello,Be Kind (with Halsey),0,2:52
876,Estonia,Europe,27,Daechwita,Agust D,Agust D,D-2,1,3:45
877,Estonia,Europe,28,SOS (Siimi Remix),"Pluuto, Nublu, Reket, Siimi",Pluuto,SOS (Siimi Remix),0,3:50
878,Estonia,Europe,29,Ooh Aah,Cdeep,Cdeep,Deep Sense,0,2:41
879,Estonia,Europe,30,Say So,Doja Cat,Doja Cat,Hot Pink,1,3:57
880,Estonia,Europe,31,Sunday Best,Surfaces,Surfaces,Where the Light Is,0,2:38
881,Estonia,Europe,32,Kuule,Karl-Erik Taukar,Karl-Erik Taukar,Kuule,0,3:20
882,Estonia,Europe,33,WHATS POPPIN,Jack Harlow,Jack Harlow,Sweet Action,1,2:19
883,Estonia,Europe,34,Circles,Post Malone,Post Malone,Hollywood's Bleeding,0,3:35
884,Estonia,Europe,35,Play Date,Melanie Martinez,Melanie Martinez,Cry Baby (Deluxe Edition),1,2:59
885,Estonia,Europe,36,öölaps!,Nublu,Nublu,Mind on Mitu,0,3:12
886,Estonia,Europe,37,Dance Monkey,Tones And I,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
887,Estonia,Europe,38,Party Girl,StaySolidRocky,StaySolidRocky,Party Girl,0,2:27
888,Estonia,Europe,39,Tsirkus,"5MIINUST, Nublu, PLUUTO",5MIINUST,Tsirkus,0,4:41
889,Estonia,Europe,40,ROXANNE,Arizona Zervas,Arizona Zervas,ROXANNE,1,2:43
890,Estonia,Europe,41,Adore You,Harry Styles,Harry Styles,Fine Line,0,3:27
891,Estonia,Europe,42,I Got Love,"MiyaGi & Endspiel, Rem Digga",MiyaGi & Endspiel,I Got Love,0,4:36
892,Estonia,Europe,43,Life Is Good (feat. Drake),"Future, Drake",Future,High Off Life,1,3:57
893,Estonia,Europe,44,everything i wanted,Billie Eilish,Billie Eilish,everything i wanted,0,4:05
894,Estonia,Europe,45,Intentions (feat. Quavo),"Justin Bieber, Quavo",Justin Bieber,Changes,0,3:32
895,Estonia,Europe,46,goosebumps,Travis Scott,Travis Scott,Birds In The Trap Sing McKnight,1,4:03
896,Estonia,Europe,47,Ma Kuulsin Seda Läbi Viinamarjaväädi,Reket,Reket,Kulutuli,0,3:08
897,Estonia,Europe,48,Ride It,Regard,Regard,Ride It,0,2:37
898,Estonia,Europe,49,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Doja Cat,Say So (feat. Nicki Minaj),1,3:26
899,Estonia,Europe,50,HIGHEST IN THE ROOM,Travis Scott,Travis Scott,HIGHEST IN THE ROOM,1,2:55
900,Finland,Europe,1,Tässäkö tää oli? (feat. Leavings-Orkesteri),"Arttu Wiskari, Leavings-Orkesteri",Arttu Wiskari,Tässäkö tää oli? (feat. Leavings-Orkesteri),0,3:42
901,Finland,Europe,2,Blinding Lights,The Weeknd,The Weeknd,After Hours,0,3:20
902,Finland,Europe,3,Penelope (feat. Clever),"william, Clever",william,Penelope (feat. Clever),0,3:03
903,Finland,Europe,4,GOOBA,6ix9ine,6ix9ine,GOOBA,1,2:12
904,Finland,Europe,5,Christian Rapper,Devo,Devo,Christian Rapper,0,2:32
905,Finland,Europe,6,Believe Me - Remastered,"Devo, Janni",Devo,Believe Me (Remastered),1,3:02
906,Finland,Europe,7,Yhtenä sunnuntaina,Erin,Erin,Yhtenä sunnuntaina,0,3:39
907,Finland,Europe,8,"Liian vähän, liian myöhään",Evelina,Evelina,"Liian vähän, liian myöhään",0,3:15
908,Finland,Europe,9,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",DaBaby,BLAME IT ON BABY,1,3:01
909,Finland,Europe,10,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Lady Gaga,Rain On Me (with Ariana Grande),0,3:02
910,Finland,Europe,11,100%,"Keko Salata, BESS, Sexmane",Keko Salata,100%,0,3:23
911,Finland,Europe,12,Roses - Imanbek Remix,"SAINt JHN, Imanbek",SAINt JHN,Roses (Imanbek Remix),1,2:56
912,Finland,Europe,13,Tivolit,BEHM,BEHM,Tivolit,0,3:31
913,Finland,Europe,14,100,Kube,Kube,100,0,2:47
914,Finland,Europe,15,Boss Bitch,Doja Cat,Doja Cat,Boss Bitch,0,2:14
915,Finland,Europe,16,Epäröimättä hetkeekään,"Elastinen, Jenni Vartiainen",Elastinen,Epäröimättä hetkeekään,0,3:20
916,Finland,Europe,17,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,THE SCOTTS,1,2:45
917,Finland,Europe,18,Breaking Me,"Topic, A7S",Topic,Breaking Me,0,2:46
918,Finland,Europe,19,Kings & Queens,Ava Max,Ava Max,Kings & Queens,0,2:42
919,Finland,Europe,20,Hei rakas,BEHM,BEHM,Hei rakas,0,3:31
920,Finland,Europe,21,Thank You [Not So Bad],"VIZE, Felix Jaehn",VIZE,Thank You [Not So Bad],0,3:17
921,Finland,Europe,22,Ikuinen vappu,JVG,JVG,RATA/RAITTI,0,3:07
922,Finland,Europe,23,Break My Heart,Dua Lipa,Dua Lipa,Future Nostalgia,0,3:41
923,Finland,Europe,24,LINKO,"Lord Est, MEGA-Ertsi",Lord Est,LINKO,0,3:12
924,Finland,Europe,25,Blueberry Faygo,Lil Mosey,Lil Mosey,Certified Hitmaker,1,2:42
925,Finland,Europe,26,Tuhansien Lärvien Maa,Petri Nygård,Petri Nygård,Tuhansien Lärvien Maa,0,2:37
926,Finland,Europe,27,Supalonely,"BENEE, Gus Dapperton",BENEE,STELLA & STEVE,1,3:43
927,Finland,Europe,28,"Parempi yksin - Recorded At Spotify Studios, Stockholm",Pyhimys,Pyhimys,Spotify Singles,0,3:02
928,Finland,Europe,29,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Ariana Grande,Stuck with U,0,3:48
929,Finland,Europe,30,In Your Eyes,The Weeknd,The Weeknd,After Hours,1,3:57
930,Finland,Europe,31,Valonsäteet,Vesta,Vesta,Valonsäteet,0,3:49
931,Finland,Europe,32,Komm Komm,Capital Bra,Capital Bra,Komm Komm,0,2:40
932,Finland,Europe,33,Toosie Slide,Drake,Drake,Dark Lane Demo Tapes,1,4:07
933,Finland,Europe,34,Hengitä,Tuure Boelius,Tuure Boelius,Hengitä,0,2:40
934,Finland,Europe,35,Salt,Ava Max,Ava Max,Salt,0,3:00
935,Finland,Europe,36,Teipillä tai rakkaudella,ABREU,ABREU,Teipillä tai rakkaudella,0,3:15
936,Finland,Europe,37,Lose Somebody,"Kygo, OneRepublic",Kygo,Lose Somebody,0,3:19
937,Finland,Europe,38,Dance Monkey,Tones And I,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
938,Finland,Europe,39,Play Date,Melanie Martinez,Melanie Martinez,Cry Baby (Deluxe Edition),1,2:59
939,Finland,Europe,40,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",Powfu,death bed (coffee for your head) (feat. beabadoobee),0,2:53
940,Finland,Europe,41,LA Money,ALMA,ALMA,Have U Seen Her?,1,2:53
941,Finland,Europe,42,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",Surf Mesa,ily (i love you baby) (feat. Emilee),0,2:56
942,Finland,Europe,43,Herkku,"Seksikäs-Suklaa, Dosdela",Seksikäs-Suklaa,Herkku,0,2:51
943,Finland,Europe,44,KYSYMYS (feat. Pyhimys),"Cledos, Pyhimys",Cledos,KYSYMYS (feat. Pyhimys),0,2:42
944,Finland,Europe,45,Cicciolina,Erika Vikman,Erika Vikman,Cicciolina,0,2:58
945,Finland,Europe,46,Naamat,HesaÄijä,HesaÄijä,Naamat,0,3:04
946,Finland,Europe,47,Be Kind (with Halsey),"Marshmello, Halsey",Marshmello,Be Kind (with Halsey),0,2:52
947,Finland,Europe,48,Physical,Dua Lipa,Dua Lipa,Future Nostalgia,0,3:13
948,Finland,Europe,49,WHATS POPPIN,Jack Harlow,Jack Harlow,Sweet Action,1,2:19
949,Finland,Europe,50,Haituvat,"Jukka Poika, Janna",Jukka Poika,Haituvat,0,3:08
950,France,Europe,1,Angela,Hatik,Hatik,Chaise pliante,1,3:56
951,France,Europe,2,JAUNÉ,"Booba, Zed",Booba,JAUNÉ,1,3:35
952,France,Europe,3,Blinding Lights,The Weeknd,The Weeknd,After Hours,0,3:20
953,France,Europe,4,Roses - Imanbek Remix,"SAINt JHN, Imanbek",SAINt JHN,Roses (Imanbek Remix),1,2:56
954,France,Europe,5,Meleğim,"Soolking, Dadju",Soolking,Vintage,0,3:40
955,France,Europe,6,Lettre à une femme,Ninho,Ninho,M.I.L.S 3,1,2:37
956,France,Europe,7,Tusa,"KAROL G, Nicki Minaj",KAROL G,Tusa,0,3:20
957,France,Europe,8,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",Surf Mesa,ily (i love you baby) (feat. Emilee),0,2:56
958,France,Europe,9,6.3,"Naps, Ninho",Naps,Carré VIP,1,3:32
959,France,Europe,10,Sousou,Jul,Jul,Sousou,1,3:57
960,France,Europe,11,Bro Bro,Zola,Zola,Bro Bro,1,2:24
961,France,Europe,12,Blanche,"Maes, Booba",Maes,Les derniers salopards,1,3:13
962,France,Europe,13,Toosie Slide,Drake,Drake,Dark Lane Demo Tapes,1,4:07
963,France,Europe,14,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",Powfu,death bed (coffee for your head) (feat. beabadoobee),0,2:53
964,France,Europe,15,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",Black Eyed Peas,MAMACITA,1,4:09
965,France,Europe,16,Criminel (feat. Niska),"Bramsito, Niska",Bramsito,Criminel,1,3:16
966,France,Europe,17,Dance Monkey,Tones And I,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
967,France,Europe,18,Skechers,DripReport,DripReport,Skechers,1,1:46
968,France,Europe,19,Distant,"Maes, Ninho",Maes,Les derniers salopards,1,2:42
969,France,Europe,20,Ride It,Regard,Regard,Ride It,0,2:37
970,France,Europe,21,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Lady Gaga,Rain On Me (with Ariana Grande),0,3:02
971,France,Europe,22,Zipette,Ninho,Ninho,M.I.L.S 3,1,3:31
972,France,Europe,23,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,THE SCOTTS,1,2:45
973,France,Europe,24,Ne reviens pas,"Gradur, Heuss L'enfoiré",Gradur,Zone 59,1,3:08
974,France,Europe,25,GOOBA,6ix9ine,6ix9ine,GOOBA,1,2:12
975,France,Europe,26,Dybala,"Maes, Jul",Maes,Les derniers salopards,1,3:31
976,France,Europe,27,1ère fois,"Imen Es, Alonzo",Imen Es,Nos vies,0,2:55
977,France,Europe,28,The Box,Roddy Ricch,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
978,France,Europe,29,La vie qu'on mène,Ninho,Ninho,Destin,0,3:13
979,France,Europe,30,93% [Tijuana],"GLK, Landy, DA Uzi, Hornet La Frappe",GLK,Indécis,1,3:42
980,France,Europe,31,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",DaBaby,BLAME IT ON BABY,1,3:01
981,France,Europe,32,MD (feat. Niska),"4Keus, Niska",4Keus,Vie d'artiste,1,3:30
982,France,Europe,33,Salt,Ava Max,Ava Max,Salt,0,3:00
983,France,Europe,34,Crois-moi (feat. Ninho),"DA Uzi, Ninho",DA Uzi,Architecte,1,3:03
984,France,Europe,35,Falling,Trevor Daniel,Trevor Daniel,Nicotine,0,2:39
985,France,Europe,36,In Your Eyes,The Weeknd,The Weeknd,After Hours,1,3:57
986,France,Europe,37,Breaking Me,"Topic, A7S",Topic,Breaking Me,0,2:46
987,France,Europe,38,Supalonely,"BENEE, Gus Dapperton",BENEE,STELLA & STEVE,1,3:43
988,France,Europe,39,Moulaga,"Heuss L'enfoiré, Jul",Heuss L'enfoiré,Moulaga,1,2:59
989,France,Europe,40,Some Say,Nea,Nea,Some Say,0,2:55
990,France,Europe,41,Infinity - Dubdogz & Bhaskar Edit,"Dubdogz, Bhaskar",Dubdogz,Infinity (Dubdogz & Bhaskar Edit),0,3:16
991,France,Europe,42,Train de vie (feat. PLK),"Leto, PLK",Leto,Virus: avant l'album,1,3:07
992,France,Europe,43,Prison pour mineurs,Hatik,Hatik,Prison pour mineurs,1,1:34
993,France,Europe,44,Pirate,"Ninho, Hös Copperfield",Ninho,Pirate,1,4:05
994,France,Europe,45,Physical,Dua Lipa,Dua Lipa,Future Nostalgia,0,3:13
995,France,Europe,46,Fait d'or,Jul,Jul,Fait d'or,1,5:15
996,France,Europe,47,So Maness,Soso Maness,Soso Maness,So Maness,1,2:39
997,France,Europe,48,Sunday Best,Surfaces,Surfaces,Where the Light Is,0,2:38
998,France,Europe,49,Anissa,Wejdene,Wejdene,Anissa,0,2:55
999,France,Europe,50,Djomb,Bosh,Bosh,Synkinisi,1,2:21
1000,Germany,Europe,1,Roadrunner,Bonez MC,Bonez MC,Roadrunner,0,2:29
1001,Germany,Europe,2,Komm Komm,Capital Bra,Capital Bra,Komm Komm,0,2:40
1002,Germany,Europe,3,Fame,Apache 207,Apache 207,Fame,0,2:53
1003,Germany,Europe,4,Airwaves,Pashanim,Pashanim,Airwaves,0,2:58
1004,Germany,Europe,5,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",DaBaby,BLAME IT ON BABY,1,3:01
1005,Germany,Europe,6,Emotions,Ufo361,Ufo361,Rich Rich,0,2:26
1006,Germany,Europe,7,Blinding Lights,The Weeknd,The Weeknd,After Hours,0,3:20
1007,Germany,Europe,8,GOOBA,6ix9ine,6ix9ine,GOOBA,1,2:12
1008,Germany,Europe,9,FAVELA,Dardan,Dardan,FAVELA,1,2:39
1009,Germany,Europe,10,Nicht verdient,"Capital Bra, Loredana",Capital Bra,Nicht verdient,0,2:56
